Date,Open,Higest,Lowest,Close,Volume,Turnover
2015/9/2,3220.85,3387.02,3213.64,3365.83,347789412,3.49E+11
2015/9/7,3347.29,3422.22,3240.24,3250.49,204224431,2.22E+11
2015/9/8,3221.79,3340.22,3170.81,3334.02,154599631,1.68E+11
2015/9/9,3344.82,3426.65,3330.29,3399.31,220467421,2.59E+11
2015/9/10,3349.28,3398.32,3337.31,3357.56,144882971,1.68E+11
2015/9/11,3349.88,3383.13,3315.48,3347.19,108547508,1.30E+11
2015/9/14,3367.64,3373.92,3187.57,3281.13,205457251,2.26E+11
2015/9/15,3208.74,3240.08,3131.98,3152.23,143555641,1.46E+11
2015/9/16,3149.16,3345.92,3131.37,3309.25,159709994,1.68E+11
2015/9/17,3287.66,3354.91,3237,3237,169401881,1.90E+11
2015/9/18,3254.44,3280.88,3227.83,3251.27,106903481,1.22E+11
2015/9/21,3222.6,3312.55,3211.93,3308.25,122788668,1.45E+11
2015/9/22,3312.37,3371.41,3303.18,3339.03,146221985,1.72E+11
2015/9/23,3290.07,3315.94,3253.33,3263.03,123171439,1.37E+11
2015/9/24,3278.9,3300.86,3255.9,3285,102011238,1.21E+11
2015/9/25,3272.67,3290.86,3201.91,3231.95,121419278,1.38E+11
2015/9/28,3226.61,3246.55,3186.51,3242.75,74219468,88007467008
2015/9/29,3197.22,3208.42,3159.04,3178.85,87150633,96691511296
2015/9/30,3195.9,3223.91,3186.77,3202.95,78559349,95881601024
2015/10/8,3324.98,3337.33,3294.61,3296.48,132081768,1.64E+11
2015/10/9,3302.36,3352.38,3293.97,3340.12,124352500,1.45E+11
2015/10/12,3351.14,3486.63,3347.25,3447.69,221400468,2.64E+11
2015/10/13,3422.48,3452.05,3413.97,3445.04,145433786,1.75E+11
2015/10/14,3431.14,3458.7,3403.23,3406.11,152173938,1.75E+11
2015/10/15,3403.39,3486.81,3402.32,3486.81,171158299,2.02E+11
2015/10/16,3508.52,3537.54,3487.1,3534.07,208964709,2.52E+11
2015/10/19,3548.95,3572.99,3502.5,3534.18,207606744,2.55E+11
2015/10/20,3527.88,3577.8,3510.44,3577.7,179025108,2.27E+11
2015/10/21,3580.84,3601.24,3417.41,3473.25,282076050,3.27E+11
2015/10/22,3453.2,3530.77,3442.31,3524.53,184305580,2.24E+11
2015/10/23,3536.84,3581.84,3515.82,3571.24,198294478,2.47E+11
2015/10/26,3614.7,3620.76,3561.19,3589.26,204248863,2.70E+11
2015/10/27,3569.45,3601.05,3486.1,3592.88,192056140,2.39E+11
2015/10/28,3575.8,3598.17,3517.21,3524.92,170977098,2.13E+11
2015/10/29,3539.98,3561.81,3507.97,3533.31,127010446,1.61E+11
2015/10/30,3530.22,3574.47,3497.57,3534.08,139141914,1.83E+11
